********
********
********
***XXX**
***XOX**
***XXX**
********
********
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
pass,1,Infinity,-Infinity,Infinity
c3,2,-Infinity,-Infinity,Infinity
b2,3,6,-Infinity,Infinity
c3,2,6,6,Infinity
d3,3,-20,6,Infinity
c3,2,6,6,Infinity
c4,3,-20,6,Infinity
c3,2,6,6,Infinity
root,1,-Infinity,-Infinity,6
e3,2,-Infinity,-Infinity,6
d2,3,-24,-Infinity,6
e3,2,-24,-24,6
e2,3,24,-24,6
e3,2,24,24,6
f2,3,-23,24,6
e3,2,24,24,6
d3,3,-20,24,6
e3,2,24,24,6
f3,3,-26,24,6
e3,2,24,24,6
root,1,-Infinity,-Infinity,6
g3,2,-Infinity,-Infinity,6
h2,3,11,-Infinity,6
g3,2,11,11,6
f3,3,-26,11,6
g3,2,11,11,6
g4,3,-24,11,6
g3,2,11,11,6
root,1,-Infinity,-Infinity,6
c5,2,-Infinity,-Infinity,6
b4,3,-24,-Infinity,6
c5,2,-24,-24,6
c4,3,-20,-24,6
c5,2,-20,-20,6
b5,3,24,-20,6
c5,2,24,24,6
b6,3,-23,24,6
c5,2,24,24,6
c6,3,-26,24,6
c5,2,24,24,6
root,1,-Infinity,-Infinity,6
g5,2,-Infinity,-Infinity,6
g4,3,-23,-Infinity,6
g5,2,-23,-23,6
h4,3,-18,-23,6
g5,2,-18,-18,6
h5,3,26,-18,6
g5,2,26,26,6
g6,3,-22,26,6
g5,2,26,26,6
h6,3,-20,26,6
g5,2,26,26,6
root,1,-Infinity,-Infinity,6
c7,2,-Infinity,-Infinity,6
c6,3,-26,-Infinity,6
c7,2,-26,-26,6
d7,3,-24,-26,6
c7,2,-24,-24,6
b8,3,11,-24,6
c7,2,11,11,6
root,1,-Infinity,-Infinity,6
e7,2,-Infinity,-Infinity,6
d7,3,-23,-Infinity,6
e7,2,-23,-23,6
f7,3,-22,-23,6
e7,2,-22,-22,6
d8,3,-18,-22,6
e7,2,-18,-18,6
e8,3,26,-18,6
e7,2,26,26,6
f8,3,-20,26,6
e7,2,26,26,6
root,1,-Infinity,-Infinity,6
g7,2,-Infinity,-Infinity,6
g6,3,-22,-Infinity,6
g7,2,-22,-22,6
f7,3,-22,-22,6
g7,2,-22,-22,6
h8,3,98,-22,6
g7,2,98,98,6
root,1,-Infinity,-Infinity,6
